Species,CC,RET,FOR,Habitat Classification,Agreement among Classifiers (out of 5)
Alder Flycatcher,4,0,2,Early-seral Forest,5
American Robin,35,44,46,Early-seral Forest,4
Black-capped Chickadee,0,4,1,Early-seral Forest,3
Boreal Chickadee,0,3,1,Mature Forest,5
Brown Creeper,1,6,11,Mature Forest,5
Cedar Waxwing,7,12,8,Early-seral Forest,4
Common Raven,0,2,0,Early-seral Forest,4
Dark-eyed Junco,40,43,36,Early-seral Forest,4
Dusky Flycatcher,0,1,0,Early-seral Forest,5
Golden-crowned Kinglet,1,11,27,Mature Forest,5
Hammond's Flycatcher,2,2,3,Mature Forest,5
Hermit Thrush,0,1,0,Mature Forest,5
Hummingbird sp,0,1,3,Early-seral Forest,5
Least Flyctcher,29,38,44,Early-seral Forest,5
Lincoln's Sparrow,0,3,2,Early-seral Forest,5
MacGillivray's Warbler,1,1,1,Early-seral Forest,4
Northern Pygmy Owl,0,0,1,Mature Forest,4
Northern Flicker,16,21,25,Early-seral Forest,5
Northern Waterthrush,5,18,25,Mature Forest,3
Olive-sided Flycatcher,5,5,13,Early-seral Forest,5
Pacific Wren,0,8,19,Mature Forest,4
Red-breasted Nuthatch,3,2,6,Mature Forest,5
Red-breasted Sapsucker,8,15,19,Mature Forest,5
Ruby-crowned Kinglet,0,4,2,Mature Forest,4
Swainson's Thursh,31,43,47,Mature Forest,5
Tenessee Warbler,10,12,3,Early-seral Forest,5
Varied Thrush,3,7,2,Mature Forest,5
Western Tanager,2,0,0,Mature Forest,4
Western Wood PeeWee,5,4,8,Early-seral Forest,4
Willow Flycatcher,1,0,0,Early-seral Forest,5
Wilson's Warbler,5,8,1,Early-seral Forest,5
Wilson's Snipe,22,27,31,Open,4
White-throated Sparrow,39,44,46,Early-seral Forest,5
Yellow-bellied Sapsucker,0,1,1,Early-seral Forest,5
Yellow-rumped Warbler,7,3,4,Mature Forest,5
